host_id,timestamp,src_ip,dst_ip,port,protocol,bytes_sent,bytes_received,duration,destination_category
BACKUP-SERVER-01,2026-09-01 10:28:27,192.168.1.200,10.0.0.37,80,TCP,38198,901837,82,Known
BACKUP-SERVER-01,2026-09-01 10:40:33,192.168.1.200,10.0.0.14,80,TCP,438530,765681,96,Known
FIN-PC-07,2026-09-01 10:46:16,192.168.1.107,10.0.0.16,80,TCP,173475,479884,98,Known
DEV-PC-01,2026-09-01 10:48:07,192.168.1.50,10.0.0.32,80,TCP,367312,409983,53,Known
BACKUP-SERVER-01,2026-09-01 10:58:43,192.168.1.200,10.0.0.16,80,TCP,100786,523003,64,Known
BACKUP-SERVER-01,2026-09-01 10:59:07,192.168.1.200,10.0.0.19,80,TCP,115242,363691,105,Known
BACKUP-SERVER-01,2026-09-01 11:00:31,192.168.1.200,10.0.0.32,80,TCP,226066,336106,40,Known
HR-PC-02,2026-09-01 11:06:18,192.168.1.102,10.0.0.32,443,TCP,378836,504661,112,Known
HR-PC-02,2026-09-01 11:09:04,192.168.1.102,10.0.0.18,443,TCP,493770,423209,2,Known
DEV-PC-01,2026-09-01 11:26:18,192.168.1.50,10.0.0.43,443,TCP,482284,53890,112,Known
BACKUP-SERVER-01,2026-09-01 11:26:51,192.168.1.200,10.0.0.43,80,TCP,86375,994590,113,Known
DEV-PC-01,2026-09-01 11:30:50,192.168.1.50,10.0.0.13,80,TCP,89445,50211,85,Known
DEV-PC-01,2026-09-01 11:32:08,192.168.1.50,10.0.0.45,80,TCP,108172,115384,46,Known
BACKUP-SERVER-01,2026-09-01 11:32:49,192.168.1.200,10.0.0.12,80,TCP,339656,157510,50,Known
FIN-PC-07,2026-09-01 11:33:35,192.168.1.107,10.0.0.23,443,TCP,315803,813843,72,Known
BACKUP-SERVER-01,2026-09-01 11:51:01,192.168.1.200,10.0.0.50,80,TCP,389343,923433,33,Known
HR-PC-02,2026-09-01 11:52:55,192.168.1.102,10.0.0.50,443,TCP,446367,641583,71,Known
BACKUP-SERVER-01,2026-09-01 11:59:31,192.168.1.200,10.0.0.15,443,TCP,286700,321393,109,Known
FIN-PC-07,2026-09-01 11:59:40,192.168.1.107,10.0.0.29,443,TCP,118318,287214,96,Known
HR-PC-02,2026-09-01 12:06:47,192.168.1.102,10.0.0.16,443,TCP,431538,905565,41,Known
HR-PC-02,2026-09-01 12:13:38,192.168.1.102,10.0.0.31,443,TCP,62317,482430,51,Known
BACKUP-SERVER-01,2026-09-01 12:14:20,192.168.1.200,10.0.0.21,443,TCP,317624,923592,60,Known
FIN-PC-07,2026-09-01 12:22:32,192.168.1.107,10.0.0.43,443,TCP,201778,636876,87,Known
HR-PC-02,2026-09-01 12:24:22,192.168.1.102,10.0.0.32,80,TCP,458226,989858,79,Known
BACKUP-SERVER-01,2026-09-01 12:27:04,192.168.1.200,10.0.0.39,443,TCP,127355,921300,111,Known
BACKUP-SERVER-01,2026-09-01 12:36:19,192.168.1.200,10.0.0.40,443,TCP,496104,904782,26,Known
DEV-PC-01,2026-09-01 12:37:41,192.168.1.50,10.0.0.48,80,TCP,92518,49686,88,Known
HR-PC-02,2026-09-01 12:42:02,192.168.1.102,10.0.0.49,443,TCP,352967,694481,85,Known
DEV-PC-01,2026-09-01 12:43:08,192.168.1.50,10.0.0.33,80,TCP,360291,567043,58,Known
BACKUP-SERVER-01,2026-09-01 12:44:24,192.168.1.200,10.0.0.32,80,TCP,202986,17013,40,Known
BACKUP-SERVER-01,2026-09-01 12:48:42,192.168.1.200,10.0.0.47,80,TCP,8778,924157,102,Known
FIN-PC-07,2026-09-01 12:58:12,192.168.1.107,10.0.0.33,443,TCP,458472,560891,59,Known
HR-PC-02,2026-09-01 13:06:51,192.168.1.102,10.0.0.21,80,TCP,410147,330833,102,Known
BACKUP-SERVER-01,2026-09-01 13:08:44,192.168.1.200,10.0.0.48,80,TCP,37267,553174,93,Known
HR-PC-02,2026-09-01 13:11:59,192.168.1.102,10.0.0.23,443,TCP,120761,743736,107,Known
FIN-PC-07,2026-09-01 13:15:03,192.168.1.107,10.0.0.33,443,TCP,169350,636828,95,Known
HR-PC-02,2026-09-01 13:23:40,192.168.1.102,10.0.0.37,80,TCP,451495,361981,83,Known
HR-PC-02,2026-09-01 13:27:16,192.168.1.102,10.0.0.21,80,TCP,359630,859211,33,Known
HR-PC-02,2026-09-01 13:38:08,192.168.1.102,10.0.0.12,80,TCP,229359,460806,16,Known
DEV-PC-01,2026-09-01 13:54:39,192.168.1.50,10.0.0.43,80,TCP,344555,814486,89,Known
HR-PC-02,2026-09-01 14:02:53,192.168.1.102,10.0.0.32,80,TCP,158078,932282,49,Known
DEV-PC-01,2026-09-01 14:04:15,192.168.1.50,10.0.0.36,80,TCP,256582,226165,60,Known
BACKUP-SERVER-01,2026-09-01 14:04:17,192.168.1.200,10.0.0.45,443,TCP,439552,796855,47,Known
FIN-PC-07,2026-09-01 14:07:12,192.168.1.107,10.0.0.37,80,TCP,183554,29957,8,Known
HR-PC-02,2026-09-01 14:20:23,192.168.1.102,10.0.0.48,80,TCP,203844,923941,97,Known
DEV-PC-01,2026-09-01 14:41:31,192.168.1.50,10.0.0.29,443,TCP,399392,360202,30,Known
BACKUP-SERVER-01,2026-09-01 14:54:52,192.168.1.200,10.0.0.43,80,TCP,300938,577056,52,Known
BACKUP-SERVER-01,2026-09-01 15:01:35,192.168.1.200,10.0.0.29,443,TCP,340434,923384,114,Known
FIN-PC-07,2026-09-01 15:07:51,192.168.1.107,10.0.0.16,443,TCP,168536,821489,117,Known
DEV-PC-01,2026-09-01 15:14:26,192.168.1.50,10.0.0.26,443,TCP,456995,746504,38,Known
HR-PC-02,2026-09-01 15:14:52,192.168.1.102,10.0.0.36,443,TCP,186490,294464,113,Known
HR-PC-02,2026-09-01 15:24:57,192.168.1.102,10.0.0.34,80,TCP,406748,402149,7,Known
BACKUP-SERVER-01,2026-09-01 15:26:54,192.168.1.200,10.0.0.27,443,TCP,347495,939299,42,Known
FIN-PC-07,2026-09-01 15:32:24,192.168.1.107,10.0.0.33,80,TCP,4450,408511,23,Known
DEV-PC-01,2026-09-01 15:33:56,192.168.1.50,10.0.0.50,80,TCP,50899,203169,76,Known
FIN-PC-07,2026-09-01 15:36:17,192.168.1.107,10.0.0.10,443,TCP,152278,967650,118,Known
HR-PC-02,2026-09-01 15:47:35,192.168.1.102,10.0.0.50,80,TCP,203177,914394,37,Known
HR-PC-02,2026-09-01 15:48:32,192.168.1.102,10.0.0.47,80,TCP,400934,699786,82,Known
DEV-PC-01,2026-09-01 15:56:38,192.168.1.50,10.0.0.46,443,TCP,488748,466651,24,Known
DEV-PC-01,2026-09-01 15:57:01,192.168.1.50,10.0.0.12,443,TCP,62523,653659,70,Known
DEV-PC-01,2026-09-01 15:58:27,192.168.1.50,10.0.0.33,443,TCP,309083,212519,103,Known
FIN-PC-07,2026-09-01 16:01:40,192.168.1.107,10.0.0.42,80,TCP,98335,428964,104,Known
FIN-PC-07,2026-09-01 16:06:40,192.168.1.107,10.0.0.25,80,TCP,302893,963976,20,Known
FIN-PC-07,2026-09-01 16:08:09,192.168.1.107,10.0.0.13,443,TCP,154255,362066,43,Known
HR-PC-02,2026-09-01 16:14:19,192.168.1.102,10.0.0.28,80,TCP,234504,278679,4,Known
HR-PC-02,2026-09-01 16:18:22,192.168.1.102,10.0.0.48,443,TCP,19682,264609,37,Known
BACKUP-SERVER-01,2026-09-01 16:22:55,192.168.1.200,10.0.0.30,443,TCP,100850,74045,71,Known
HR-PC-02,2026-09-01 16:25:01,192.168.1.102,10.0.0.10,80,TCP,474989,763414,9,Known
FIN-PC-07,2026-09-01 16:31:39,192.168.1.107,10.0.0.39,80,TCP,385508,172228,97,Known
HR-PC-02,2026-09-01 16:37:45,192.168.1.102,10.0.0.18,443,TCP,48259,481792,75,Known
FIN-PC-07,2026-09-01 16:39:02,192.168.1.107,10.0.0.32,80,TCP,450331,458090,102,Known
BACKUP-SERVER-01,2026-09-01 16:52:00,192.168.1.200,10.0.0.30,443,TCP,141069,497329,111,Known
BACKUP-SERVER-01,2026-09-01 16:55:41,192.168.1.200,10.0.0.42,443,TCP,44284,293308,86,Known
DEV-PC-01,2026-09-01 16:58:26,192.168.1.50,10.0.0.17,443,TCP,181720,45136,76,Known
FIN-PC-07,2026-09-01 17:04:25,192.168.1.107,10.0.0.28,80,TCP,370494,269603,72,Known
BACKUP-SERVER-01,2026-09-01 17:16:13,192.168.1.200,10.0.0.37,80,TCP,459797,326008,76,Known
DEV-PC-01,2026-09-01 17:22:29,192.168.1.50,10.0.0.48,443,TCP,484823,255351,32,Known
HR-PC-02,2026-09-01 17:36:23,192.168.1.102,10.0.0.16,443,TCP,404519,640852,86,Known
FIN-PC-07,2026-09-01 17:38:24,192.168.1.107,10.0.0.33,443,TCP,473313,104473,62,Known
HR-PC-02,2026-09-01 17:40:59,192.168.1.102,10.0.0.15,80,TCP,98105,608230,30,Known
BACKUP-SERVER-01,2026-09-01 17:43:47,192.168.1.200,10.0.0.12,80,TCP,407439,145524,118,Known
HR-PC-02,2026-09-01 17:52:30,192.168.1.102,10.0.0.43,443,TCP,423628,342104,28,Known
BACKUP-SERVER-01,2026-09-02 01:04:53,192.168.1.200,52.216.146.90,443,TCP,440065529,8600,1913,Approved Cloud Provider
FIN-PC-07,2026-09-02 02:29:23,192.168.1.107,104.28.14.99,443,TCP,5289848,1951,321,Uncategorized
HR-PC-02,2026-09-02 09:04:38,192.168.1.102,10.0.0.28,443,TCP,346310,262539,100,Known
BACKUP-SERVER-01,2026-09-02 09:09:34,192.168.1.200,10.0.0.29,80,TCP,364558,367182,89,Known
BACKUP-SERVER-01,2026-09-02 09:12:07,192.168.1.200,10.0.0.17,80,TCP,297675,941992,56,Known
FIN-PC-07,2026-09-02 09:13:28,192.168.1.107,10.0.0.15,80,TCP,146391,154366,41,Known
HR-PC-02,2026-09-02 09:17:15,192.168.1.102,10.0.0.20,443,TCP,41529,617425,41,Known
DEV-PC-01,2026-09-02 09:21:45,192.168.1.50,10.0.0.50,80,TCP,250452,35458,82,Known
HR-PC-02,2026-09-02 09:23:25,192.168.1.102,10.0.0.30,443,TCP,343867,999833,17,Known
FIN-PC-07,2026-09-02 09:31:11,192.168.1.107,10.0.0.10,443,TCP,203746,312986,46,Known
HR-PC-02,2026-09-02 09:38:55,192.168.1.102,10.0.0.18,80,TCP,226575,298562,40,Known
DEV-PC-01,2026-09-02 09:39:35,192.168.1.50,10.0.0.46,443,TCP,438143,480487,36,Known
HR-PC-02,2026-09-02 09:45:11,192.168.1.102,10.0.0.21,80,TCP,427221,939412,2,Known
BACKUP-SERVER-01,2026-09-02 09:46:59,192.168.1.200,10.0.0.33,443,TCP,447357,678533,22,Known
BACKUP-SERVER-01,2026-09-02 10:02:05,192.168.1.200,10.0.0.48,80,TCP,237814,32482,116,Known
HR-PC-02,2026-09-02 10:02:40,192.168.1.102,10.0.0.26,80,TCP,134858,397097,111,Known
DEV-PC-01,2026-09-02 10:05:51,192.168.1.50,10.0.0.32,443,TCP,289595,979054,20,Known
DEV-PC-01,2026-09-02 10:12:06,192.168.1.50,10.0.0.12,80,TCP,14432,646999,54,Known
BACKUP-SERVER-01,2026-09-02 10:14:48,192.168.1.200,10.0.0.44,80,TCP,429330,681445,84,Known
FIN-PC-07,2026-09-02 10:16:43,192.168.1.107,10.0.0.34,443,TCP,352325,968245,8,Known
HR-PC-02,2026-09-02 10:22:27,192.168.1.102,10.0.0.50,80,TCP,127515,675212,79,Known
BACKUP-SERVER-01,2026-09-02 10:25:04,192.168.1.200,10.0.0.25,443,TCP,318131,21543,33,Known
FIN-PC-07,2026-09-02 10:28:55,192.168.1.107,10.0.0.14,80,TCP,223439,509066,57,Known
BACKUP-SERVER-01,2026-09-02 10:36:17,192.168.1.200,10.0.0.48,80,TCP,392816,887233,23,Known
BACKUP-SERVER-01,2026-09-02 10:45:05,192.168.1.200,10.0.0.28,80,TCP,1388,990048,105,Known
HR-PC-02,2026-09-02 10:52:51,192.168.1.102,10.0.0.17,80,TCP,212506,421052,57,Known
BACKUP-SERVER-01,2026-09-02 11:10:09,192.168.1.200,10.0.0.22,80,TCP,233843,669093,22,Known
HR-PC-02,2026-09-02 11:12:30,192.168.1.102,10.0.0.14,443,TCP,497642,610342,72,Known
DEV-PC-01,2026-09-02 11:13:36,192.168.1.50,10.0.0.32,80,TCP,80308,357109,84,Known
FIN-PC-07,2026-09-02 11:18:56,192.168.1.107,10.0.0.42,443,TCP,419680,170598,96,Known
HR-PC-02,2026-09-02 11:21:00,192.168.1.102,10.0.0.12,80,TCP,17805,311332,81,Known
DEV-PC-01,2026-09-02 11:21:49,192.168.1.50,10.0.0.19,443,TCP,95123,56064,50,Known
DEV-PC-01,2026-09-02 11:30:20,192.168.1.50,10.0.0.21,443,TCP,13204,521674,11,Known
FIN-PC-07,2026-09-02 11:31:30,192.168.1.107,10.0.0.40,443,TCP,377891,308729,6,Known
HR-PC-02,2026-09-02 11:37:38,192.168.1.102,10.0.0.38,80,TCP,124743,666620,58,Known
DEV-PC-01,2026-09-02 11:46:02,192.168.1.50,10.0.0.39,443,TCP,287421,278051,75,Known
BACKUP-SERVER-01,2026-09-02 11:48:02,192.168.1.200,10.0.0.13,443,TCP,155673,531969,24,Known
FIN-PC-07,2026-09-02 11:48:26,192.168.1.107,10.0.0.42,443,TCP,71413,633875,67,Known
FIN-PC-07,2026-09-02 11:51:58,192.168.1.107,10.0.0.48,443,TCP,393413,187569,66,Known
FIN-PC-07,2026-09-02 11:52:31,192.168.1.107,10.0.0.34,80,TCP,397814,913293,22,Known
BACKUP-SERVER-01,2026-09-02 11:52:48,192.168.1.200,10.0.0.15,80,TCP,127817,793530,52,Known
DEV-PC-01,2026-09-02 11:57:55,192.168.1.50,10.0.0.29,80,TCP,341504,949459,73,Known
FIN-PC-07,2026-09-02 12:02:01,192.168.1.107,10.0.0.14,443,TCP,486279,188898,44,Known
HR-PC-02,2026-09-02 12:02:06,192.168.1.102,10.0.0.33,80,TCP,256804,495855,40,Known
BACKUP-SERVER-01,2026-09-02 12:05:57,192.168.1.200,10.0.0.35,443,TCP,237519,501827,108,Known
FIN-PC-07,2026-09-02 12:14:02,192.168.1.107,10.0.0.42,443,TCP,303428,592691,99,Known
HR-PC-02,2026-09-02 12:17:42,192.168.1.102,10.0.0.29,80,TCP,354226,281539,90,Known
BACKUP-SERVER-01,2026-09-02 12:29:42,192.168.1.200,10.0.0.39,443,TCP,204314,907959,59,Known
DEV-PC-01,2026-09-02 12:36:02,192.168.1.50,10.0.0.32,443,TCP,270211,431124,33,Known
FIN-PC-07,2026-09-02 12:43:48,192.168.1.107,10.0.0.28,443,TCP,385683,694131,34,Known
HR-PC-02,2026-09-02 12:46:12,192.168.1.102,10.0.0.14,443,TCP,43127,390217,27,Known
HR-PC-02,2026-09-02 12:50:52,192.168.1.102,10.0.0.49,443,TCP,354864,553447,8,Known
DEV-PC-01,2026-09-02 12:59:11,192.168.1.50,10.0.0.50,80,TCP,241775,25853,75,Known
FIN-PC-07,2026-09-02 13:06:49,192.168.1.107,10.0.0.34,80,TCP,354051,698543,60,Known
HR-PC-02,2026-09-02 13:08:14,192.168.1.102,10.0.0.45,443,TCP,137601,178286,67,Known
HR-PC-02,2026-09-02 13:14:06,192.168.1.102,10.0.0.42,80,TCP,183432,360036,47,Known
BACKUP-SERVER-01,2026-09-02 13:36:36,192.168.1.200,10.0.0.17,443,TCP,490086,257993,96,Known
DEV-PC-01,2026-09-02 13:44:41,192.168.1.50,10.0.0.30,443,TCP,412931,60511,19,Known
DEV-PC-01,2026-09-02 14:14:22,192.168.1.50,10.0.0.45,443,TCP,88874,126214,18,Known
DEV-PC-01,2026-09-02 14:16:10,192.168.1.50,10.0.0.12,443,TCP,118374,742031,117,Known
DEV-PC-01,2026-09-02 14:17:59,192.168.1.50,10.0.0.42,80,TCP,31635,643751,17,Known
FIN-PC-07,2026-09-02 14:22:58,192.168.1.107,10.0.0.21,443,TCP,56558,527446,31,Known
BACKUP-SERVER-01,2026-09-02 14:27:03,192.168.1.200,10.0.0.29,80,TCP,30792,94653,83,Known
DEV-PC-01,2026-09-02 14:30:05,192.168.1.50,10.0.0.15,80,TCP,180168,741834,34,Known
HR-PC-02,2026-09-02 14:38:16,192.168.1.102,10.0.0.32,443,TCP,287301,524218,102,Known
DEV-PC-01,2026-09-02 14:44:06,192.168.1.50,10.0.0.31,443,TCP,2848,52822,111,Known
FIN-PC-07,2026-09-02 15:07:19,192.168.1.107,10.0.0.11,80,TCP,140175,341662,108,Known
BACKUP-SERVER-01,2026-09-02 15:17:32,192.168.1.200,10.0.0.24,443,TCP,422544,584198,90,Known
FIN-PC-07,2026-09-02 15:23:07,192.168.1.107,10.0.0.37,80,TCP,204435,19810,8,Known
BACKUP-SERVER-01,2026-09-02 15:24:02,192.168.1.200,10.0.0.16,443,TCP,2251,994587,77,Known
FIN-PC-07,2026-09-02 15:34:36,192.168.1.107,10.0.0.11,80,TCP,234847,232309,103,Known
DEV-PC-01,2026-09-02 15:42:29,192.168.1.50,10.0.0.49,80,TCP,147264,662105,116,Known
BACKUP-SERVER-01,2026-09-02 15:44:01,192.168.1.200,10.0.0.46,443,TCP,495303,548399,80,Known
DEV-PC-01,2026-09-02 15:44:58,192.168.1.50,10.0.0.14,443,TCP,80790,120861,27,Known
BACKUP-SERVER-01,2026-09-02 15:45:29,192.168.1.200,10.0.0.29,80,TCP,498885,62679,62,Known
HR-PC-02,2026-09-02 15:57:58,192.168.1.102,10.0.0.26,443,TCP,250803,393519,85,Known
BACKUP-SERVER-01,2026-09-02 15:58:15,192.168.1.200,10.0.0.41,443,TCP,155194,242880,47,Known
DEV-PC-01,2026-09-02 16:04:23,192.168.1.50,10.0.0.38,80,TCP,244992,783005,19,Known
FIN-PC-07,2026-09-02 16:12:41,192.168.1.107,10.0.0.12,443,TCP,420493,275884,72,Known
DEV-PC-01,2026-09-02 16:14:05,192.168.1.50,10.0.0.44,443,TCP,485882,422997,101,Known
HR-PC-02,2026-09-02 16:14:48,192.168.1.102,10.0.0.35,80,TCP,254702,25212,36,Known
FIN-PC-07,2026-09-02 16:15:24,192.168.1.107,10.0.0.11,443,TCP,150781,832639,118,Known
BACKUP-SERVER-01,2026-09-02 16:19:07,192.168.1.200,10.0.0.22,80,TCP,59177,868965,33,Known
HR-PC-02,2026-09-02 16:19:14,192.168.1.102,10.0.0.44,443,TCP,298412,405944,7,Known
BACKUP-SERVER-01,2026-09-02 16:29:08,192.168.1.200,10.0.0.13,443,TCP,430380,162995,12,Known
BACKUP-SERVER-01,2026-09-02 16:31:39,192.168.1.200,10.0.0.41,443,TCP,318996,497997,77,Known
FIN-PC-07,2026-09-02 16:37:38,192.168.1.107,10.0.0.12,443,TCP,60123,816751,95,Known
DEV-PC-01,2026-09-02 16:39:18,192.168.1.50,10.0.0.37,80,TCP,33050,619181,67,Known
HR-PC-02,2026-09-02 16:42:36,192.168.1.102,10.0.0.18,443,TCP,147975,961918,41,Known
HR-PC-02,2026-09-02 16:56:46,192.168.1.102,10.0.0.11,80,TCP,329399,943058,83,Known
HR-PC-02,2026-09-02 16:57:33,192.168.1.102,10.0.0.39,80,TCP,156280,508597,115,Known
FIN-PC-07,2026-09-02 17:03:20,192.168.1.107,10.0.0.50,443,TCP,130711,36819,37,Known
FIN-PC-07,2026-09-02 17:05:07,192.168.1.107,10.0.0.41,443,TCP,170757,739295,82,Known
FIN-PC-07,2026-09-02 17:05:40,192.168.1.107,10.0.0.32,80,TCP,361744,502074,25,Known
FIN-PC-07,2026-09-02 17:07:34,192.168.1.107,10.0.0.20,443,TCP,127199,205919,4,Known
FIN-PC-07,2026-09-02 17:12:16,192.168.1.107,10.0.0.42,443,TCP,186350,519286,89,Known
DEV-PC-01,2026-09-02 17:42:22,192.168.1.50,10.0.0.18,443,TCP,80791,122090,78,Known
BACKUP-SERVER-01,2026-09-02 17:44:06,192.168.1.200,10.0.0.27,443,TCP,190471,439329,120,Known
HR-PC-02,2026-09-02 17:46:13,192.168.1.102,10.0.0.50,443,TCP,392209,247480,1,Known
HR-PC-02,2026-09-02 17:48:02,192.168.1.102,10.0.0.23,443,TCP,394189,624692,102,Known
BACKUP-SERVER-01,2026-09-02 17:56:28,192.168.1.200,10.0.0.39,80,TCP,227938,581903,69,Known
BACKUP-SERVER-01,2026-09-03 01:27:06,192.168.1.200,52.216.146.90,443,TCP,552050190,6890,2605,Approved Cloud Provider
FIN-PC-07,2026-09-03 03:30:49,192.168.1.107,104.28.14.99,443,TCP,6444322,4552,338,Uncategorized
HR-PC-02,2026-09-03 09:01:29,192.168.1.102,10.0.0.44,443,TCP,250773,289612,108,Known
BACKUP-SERVER-01,2026-09-03 09:02:15,192.168.1.200,10.0.0.44,443,TCP,372059,925357,62,Known
BACKUP-SERVER-01,2026-09-03 09:06:35,192.168.1.200,10.0.0.20,80,TCP,313912,527730,9,Known
HR-PC-02,2026-09-03 09:10:18,192.168.1.102,10.0.0.26,443,TCP,338049,10610,25,Known
DEV-PC-01,2026-09-03 09:12:54,192.168.1.50,10.0.0.11,443,TCP,279266,695189,29,Known
FIN-PC-07,2026-09-03 09:12:59,192.168.1.107,10.0.0.39,443,TCP,381118,769864,33,Known
BACKUP-SERVER-01,2026-09-03 09:26:58,192.168.1.200,10.0.0.48,80,TCP,207745,427572,81,Known
DEV-PC-01,2026-09-03 09:31:56,192.168.1.50,10.0.0.40,80,TCP,491047,687337,12,Known
DEV-PC-01,2026-09-03 09:38:18,192.168.1.50,10.0.0.41,80,TCP,387778,545805,31,Known
BACKUP-SERVER-01,2026-09-03 09:41:34,192.168.1.200,10.0.0.17,80,TCP,198697,780128,46,Known
HR-PC-02,2026-09-03 09:43:43,192.168.1.102,10.0.0.17,443,TCP,13793,470274,46,Known
FIN-PC-07,2026-09-03 09:44:32,192.168.1.107,10.0.0.27,443,TCP,303581,581664,88,Known
DEV-PC-01,2026-09-03 09:47:03,192.168.1.50,10.0.0.31,443,TCP,410744,450376,87,Known
BACKUP-SERVER-01,2026-09-03 09:54:17,192.168.1.200,10.0.0.15,443,TCP,495769,866249,118,Known
BACKUP-SERVER-01,2026-09-03 10:01:59,192.168.1.200,10.0.0.25,80,TCP,402822,216604,14,Known
DEV-PC-01,2026-09-03 10:04:16,192.168.1.50,10.0.0.31,80,TCP,367093,292771,70,Known
BACKUP-SERVER-01,2026-09-03 10:11:55,192.168.1.200,10.0.0.25,443,TCP,492513,306363,39,Known
DEV-PC-01,2026-09-03 10:15:40,192.168.1.50,10.0.0.24,443,TCP,10095,136988,73,Known
DEV-PC-01,2026-09-03 10:22:56,192.168.1.50,10.0.0.20,443,TCP,283122,988849,98,Known
BACKUP-SERVER-01,2026-09-03 10:23:03,192.168.1.200,10.0.0.49,80,TCP,120814,261952,119,Known
DEV-PC-01,2026-09-03 10:23:21,192.168.1.50,10.0.0.10,443,TCP,57668,877443,68,Known
FIN-PC-07,2026-09-03 10:25:55,192.168.1.107,10.0.0.18,80,TCP,374946,32816,54,Known
FIN-PC-07,2026-09-03 10:31:55,192.168.1.107,10.0.0.29,443,TCP,137627,836553,73,Known
BACKUP-SERVER-01,2026-09-03 10:33:33,192.168.1.200,10.0.0.27,443,TCP,137589,883373,65,Known
DEV-PC-01,2026-09-03 10:35:36,192.168.1.50,10.0.0.35,80,TCP,22354,848709,112,Known
HR-PC-02,2026-09-03 10:52:14,192.168.1.102,10.0.0.36,80,TCP,19141,56618,11,Known
HR-PC-02,2026-09-03 10:53:03,192.168.1.102,10.0.0.32,443,TCP,318964,79952,66,Known
BACKUP-SERVER-01,2026-09-03 10:58:03,192.168.1.200,10.0.0.44,80,TCP,350960,105420,107,Known
HR-PC-02,2026-09-03 10:58:42,192.168.1.102,10.0.0.45,443,TCP,29927,287795,95,Known
FIN-PC-07,2026-09-03 11:07:38,192.168.1.107,10.0.0.44,443,TCP,73610,395808,32,Known
BACKUP-SERVER-01,2026-09-03 11:24:32,192.168.1.200,10.0.0.34,80,TCP,284834,247910,15,Known
BACKUP-SERVER-01,2026-09-03 11:25:35,192.168.1.200,10.0.0.27,80,TCP,275403,804225,85,Known
DEV-PC-01,2026-09-03 11:40:35,192.168.1.50,10.0.0.21,443,TCP,372527,726276,29,Known
DEV-PC-01,2026-09-03 11:52:16,192.168.1.50,10.0.0.14,443,TCP,15879,693157,114,Known
BACKUP-SERVER-01,2026-09-03 11:54:16,192.168.1.200,10.0.0.49,443,TCP,169789,279153,79,Known
HR-PC-02,2026-09-03 11:55:55,192.168.1.102,10.0.0.36,443,TCP,403092,455499,75,Known
BACKUP-SERVER-01,2026-09-03 11:57:17,192.168.1.200,10.0.0.40,80,TCP,275511,780207,1,Known
FIN-PC-07,2026-09-03 12:02:27,192.168.1.107,10.0.0.43,80,TCP,82025,24641,71,Known
HR-PC-02,2026-09-03 12:05:31,192.168.1.102,10.0.0.44,80,TCP,48242,64809,77,Known
BACKUP-SERVER-01,2026-09-03 12:09:58,192.168.1.200,10.0.0.18,443,TCP,425802,698161,59,Known
DEV-PC-01,2026-09-03 12:14:51,192.168.1.50,10.0.0.40,443,TCP,454820,735926,87,Known
HR-PC-02,2026-09-03 12:25:58,192.168.1.102,10.0.0.17,80,TCP,273894,690571,109,Known
BACKUP-SERVER-01,2026-09-03 12:34:40,192.168.1.200,10.0.0.24,443,TCP,243054,708953,18,Known
BACKUP-SERVER-01,2026-09-03 12:43:35,192.168.1.200,10.0.0.40,80,TCP,489795,373009,90,Known
